X,Y,Z
0.2444916,1.247999,-0.01410034
0.2435443,1.250091,-0.01526311
0.2438325,1.253872,-0.01372906
0.2451951,1.252635,-0.01553572
0.2463329,1.252766,-0.01600851
0.2472414,1.257936,-0.01510695
0.24687,1.259264,-0.01659486
0.245211,1.264304,-0.01664139
0.2436356,1.268066,-0.01813921
0.240929,1.277194,-0.02001109
0.2320737,1.291284,-0.02121599
0.2327073,1.303749,-0.02623782
0.2311218,1.313867,-0.02977206
0.2282127,1.319905,-0.0318649
0.2239251,1.329843,-0.03308521
0.2199384,1.338776,-0.03544547
0.2157633,1.349721,-0.03555046
0.2125226,1.356128,-0.03563377
0.2093957,1.359509,-0.03753695
0.207855,1.36284,-0.03860525
0.2074521,1.369217,-0.03933084
0.2034131,1.377478,-0.04064996
0.2003696,1.385068,-0.04129568
0.1960411,1.391554,-0.04149221
0.1900776,1.398637,-0.04185522
0.184803,1.406515,-0.04231485
0.1820009,1.412399,-0.04317923
0.1775444,1.4194,-0.04550351
0.1733588,1.429177,-0.04700607
0.1700042,1.438765,-0.04857044
0.1646576,1.447221,-0.04832778
0.1609835,1.455368,-0.04646456
0.1562051,1.466285,-0.04506412
0.1511751,1.477577,-0.0452417
0.1415512,1.489022,-0.04591484
0.1371831,1.500467,-0.04565796
0.1350094,1.510309,-0.04495661
0.127055,1.519784,-0.04565468
0.1209914,1.531425,-0.04503029
0.1148224,1.539212,-0.04422294
0.1086345,1.548298,-0.04307621
0.1040364,1.558031,-0.04238655
0.1009261,1.564296,-0.04195993
0.09578063,1.572175,-0.04080164
0.09031878,1.57951,-0.0400079
0.08627036,1.587538,-0.03930161
0.08205308,1.593082,-0.04028985
0.07672844,1.597759,-0.03963469
0.07299077,1.603315,-0.03674078
0.0689543,1.611588,-0.03660075
0.0642283,1.619346,-0.03671256
0.06040388,1.628944,-0.0365382
0.05648113,1.638736,-0.0348724
0.05395271,1.646505,-0.03361607
0.05252922,1.651717,-0.03314272
