X,Y,Z
0.2486878,1.250645,-0.01692852
0.2477757,1.250449,-0.01615578
0.2475606,1.250522,-0.01639483
0.2480187,1.250306,-0.01548769
0.2486525,1.248809,-0.01508345
0.2486751,1.248585,-0.01434231
0.2481656,1.249374,-0.0156286
0.2480262,1.250905,-0.01605131
0.2466487,1.255479,-0.01534438
0.2437128,1.261851,-0.0160141
0.2395397,1.270189,-0.01643862
0.2353442,1.277254,-0.0158829
0.2327951,1.281354,-0.01543298
0.2290736,1.287131,-0.0151344
0.2256518,1.293077,-0.01511508
0.2225376,1.299318,-0.01504114
0.2196673,1.303467,-0.01525132
0.2160025,1.3102,-0.01567403
0.2128206,1.317298,-0.01574915
0.2098631,1.324421,-0.01652551
0.2072826,1.331837,-0.01736366
0.2051618,1.336507,-0.01823448
0.2012788,1.344177,-0.01951746
0.1974878,1.351279,-0.02032946
0.1948669,1.358624,-0.02138642
0.1921469,1.363107,-0.02167996
0.187856,1.369565,-0.02174684
0.1841017,1.375691,-0.02224459
0.1798767,1.382438,-0.02275676
0.1757022,1.389168,-0.02239627
0.1730618,1.392326,-0.02226641
0.1708925,1.398522,-0.02132588
0.1677763,1.405597,-0.02016325
0.1637462,1.4128,-0.0194377
0.1615684,1.417027,-0.01946225
0.1589544,1.424033,-0.0198837
0.1559588,1.431296,-0.01999915
0.1528292,1.437912,-0.02069137
0.1492235,1.444131,-0.02174192
0.1471063,1.448472,-0.02273023
0.1434201,1.45511,-0.02400039
0.140013,1.462377,-0.024875
0.1366406,1.469896,-0.02456197
0.1336497,1.474485,-0.02328413
0.1290981,1.481048,-0.02130046
0.1263032,1.486679,-0.01979351
0.123076,1.493348,-0.01859413
0.1199557,1.499567,-0.01824316
0.1178682,1.504153,-0.01849462
0.1165107,1.509882,-0.01934698
0.114635,1.516659,-0.02085969
0.1121741,1.522788,-0.02280022
0.1081198,1.528663,-0.02511862
0.1045313,1.532896,-0.0256947
0.1011528,1.539901,-0.0257238
0.09873271,1.545497,-0.02537096
0.09594964,1.550226,-0.02434254
0.09397487,1.552523,-0.02445002
0.09113529,1.557818,-0.02325533
0.08878411,1.564806,-0.0211527
0.08757129,1.570666,-0.01790236
0.08694024,1.573858,-0.01606475
0.08617552,1.57809,-0.01332228
0.08487886,1.582684,-0.01227362
0.08226176,1.587002,-0.01175594
0.08034611,1.591443,-0.01180896
0.07817432,1.595222,-0.01245019
0.07553571,1.600081,-0.01301003
0.07325327,1.604127,-0.01310811
0.07059602,1.607914,-0.01362906
0.06761952,1.611538,-0.0144252
0.06617993,1.613979,-0.01478727
0.0639389,1.618098,-0.01492349
0.06177681,1.623064,-0.01440217
0.05930663,1.627933,-0.01450606
0.05759806,1.63103,-0.01437503
0.05574031,1.636461,-0.01443779
0.05388824,1.641701,-0.01455901
0.05077556,1.647229,-0.01487471
0.04840709,1.652422,-0.01549727
0.04727346,1.655005,-0.01559066
0.04541819,1.659763,-0.01535985
0.04425656,1.665108,-0.01376389
0.04182867,1.668714,-0.01368558
0.0406195,1.672061,-0.01377306
0.03864606,1.675916,-0.01429484
0.03692252,1.680618,-0.014067
0.03478861,1.685042,-0.01456282
0.03287175,1.689809,-0.01454316
