X,Y,Z
0.2491489,1.250847,-0.01578623
0.2510764,1.251719,-0.01355785
0.253493,1.248998,-0.01232019
0.2539549,1.246039,-0.01146135
0.2531319,1.244666,-0.01099792
0.2517893,1.246282,-0.01022911
0.2488506,1.250827,-0.01111948
0.2443306,1.258027,-0.01524282
0.240064,1.265703,-0.01932603
0.2357681,1.275984,-0.0219548
0.2303297,1.287601,-0.02630904
0.2240142,1.301609,-0.02724862
0.2167291,1.315932,-0.02790707
0.2096791,1.33208,-0.02766344
0.2032463,1.347907,-0.0266763
0.1985759,1.361298,-0.02356547
0.1955262,1.37293,-0.02249593
0.1893691,1.383046,-0.02069265
0.181318,1.392086,-0.01817262
0.1745264,1.405096,-0.01429498
0.1687252,1.417093,-0.01423442
0.1623768,1.429757,-0.01456067
0.1563658,1.440322,-0.01525763
0.150858,1.450481,-0.01529625
0.1445891,1.459763,-0.01645565
0.1385457,1.469904,-0.01834759
0.1326557,1.480805,-0.02124849
0.1275369,1.493545,-0.02593818
0.1211892,1.50694,-0.03006351
0.115935,1.521388,-0.03270847
0.1116528,1.536165,-0.03325593
0.1063863,1.547357,-0.03024283
0.09928268,1.561069,-0.02846718
0.09162988,1.575525,-0.02877006
0.08332993,1.588237,-0.02760893
0.07414286,1.597556,-0.02488476
0.06646606,1.608169,-0.02145988
0.05743532,1.615429,-0.0196965
0.05011059,1.624834,-0.01721179
0.04486418,1.634656,-0.01331735
0.04278912,1.64766,-0.01174253
0.04069514,1.660795,-0.01205605
0.03838759,1.670442,-0.01177484
0.03495337,1.678242,-0.01388136
0.02949577,1.684813,-0.01634866
0.02575962,1.687824,-0.0169006
0.02256051,1.689825,-0.01544049
0.02056785,1.696188,-0.01330501
0.01717641,1.702186,-0.01021677
0.01466711,1.710325,-0.01054159
0.01219044,1.717662,-0.01075912
0.009134309,1.722397,-0.01361001
0.007155135,1.727,-0.01626557
0.007718585,1.735663,-0.01742521
0.006406648,1.741504,-0.01815513
0.004763279,1.745895,-0.01928264
0.002678139,1.749216,-0.01919654
0.001947872,1.749899,-0.01893046
-1.782179E-05,1.750841,-0.01961347
-0.00265353,1.751579,-0.01935631
-0.003909532,1.750615,-0.01819372
-0.005494907,1.749073,-0.0165534
-0.008588172,1.744642,-0.01532194
-0.01189432,1.740897,-0.01471993
-0.01447422,1.735465,-0.01433334
-0.01694801,1.730666,-0.01574522
-0.01953635,1.726532,-0.01804399
-0.02157439,1.721792,-0.02069396
-0.02409296,1.717737,-0.02351344
-0.02744228,1.712102,-0.02566952
-0.03158772,1.704355,-0.02636403
-0.03454043,1.696579,-0.02719504
-0.03796745,1.688853,-0.02837953
-0.04099259,1.681338,-0.02971467
-0.04360853,1.67499,-0.03035411
-0.04602463,1.667008,-0.03100014
-0.04873409,1.657787,-0.03253829
-0.05187618,1.648322,-0.03166765
-0.05590791,1.639947,-0.03101724
-0.05946468,1.634065,-0.02989769
-0.06406758,1.627452,-0.02966177
-0.07235022,1.618309,-0.028649
-0.07993419,1.610857,-0.02786335
-0.08659307,1.604701,-0.02792948
-0.09319359,1.596112,-0.02712774
-0.100632,1.591125,-0.02596626
-0.1051519,1.58595,-0.02593538
-0.10844,1.577569,-0.0262281
-0.111985,1.568145,-0.02687135
-0.1161186,1.558534,-0.02649406
