X,Y,Z
0.2519926,1.496935,-0.004972413
0.254787,1.491393,-0.002684515
0.2547057,1.492556,-0.0001640208
0.2551015,1.494513,0.003102481
0.2523809,1.496288,0.003837533
0.2516925,1.498294,0.004474446
0.2516614,1.499923,0.004252553
0.2525757,1.504835,0.00361817
0.2528162,1.509156,0.003437493
0.2539898,1.511174,0.002501983
0.2535247,1.518664,0.001332212
0.2530787,1.523143,0.001032174
0.251043,1.53083,-5.730242E-05
0.2489843,1.540236,-0.002183158
0.2455259,1.551019,-0.00349275
0.2429775,1.557932,-0.004246313
0.239522,1.567022,-0.004241128
0.2367984,1.574889,-0.004677203
0.2333956,1.583662,-0.005517457
0.2299961,1.592446,-0.005960006
0.2282899,1.597592,-0.005582403
0.2234874,1.606061,-0.005637437
0.2190173,1.614796,-0.004975982
0.2126179,1.621449,-0.003782276
0.2070992,1.626325,-0.003036227
0.1983826,1.633955,-0.002502546
0.1878778,1.639495,-0.001692604
0.1820078,1.647045,-0.002251018
0.1801576,1.659363,-0.001869284
0.1793041,1.666505,-0.002294373
0.1751753,1.675097,-0.003776535
0.1711243,1.685036,-0.005076565
0.1634884,1.690703,-0.005406357
0.1581219,1.694258,-0.005077478
0.150484,1.699698,-0.004487671
0.1434839,1.704382,-0.003774218
0.1352341,1.70947,-0.0046129
0.127257,1.715259,-0.004771464
0.1217565,1.718671,-0.004328005
0.1117605,1.722894,-0.005496752
0.1000435,1.727796,-0.006416216
0.08763632,1.733091,-0.006118651
0.07943076,1.735655,-0.006888069
0.06739705,1.740846,-0.007645819
0.05338963,1.744659,-0.007554017
0.04058589,1.74559,-0.0065418
0.02683424,1.746376,-0.005190454
0.01682425,1.746036,-0.004465524
0.001593836,1.745909,-0.004000105
-0.01145503,1.747348,-0.004116535
-0.02352143,1.749198,-0.003244285
-0.03254451,1.749809,-0.00508441
-0.04402681,1.751253,-0.007563036
-0.05445945,1.748795,-0.006037328
-0.06440063,1.74536,-0.005295724
-0.07480244,1.74098,-0.004699651
-0.08146779,1.737073,-0.004523713
-0.09126852,1.731354,-0.005138587
-0.09872573,1.727932,-0.005453181
-0.1056824,1.723924,-0.005721703
-0.1104264,1.722601,-0.006172262
-0.1179168,1.718071,-0.007008448
-0.1244261,1.712604,-0.006967127
-0.1330633,1.708988,-0.005842667
-0.1408059,1.703949,-0.004860431
-0.1453992,1.701348,-0.004484776
-0.1534306,1.696266,-0.00314099
-0.1599842,1.691379,0.0008189939
-0.1649401,1.686747,0.004109267
-0.1682533,1.683956,0.004877433
-0.1753236,1.677492,0.006415483
-0.1830618,1.668224,0.009481363
-0.1902626,1.65746,0.01386249
-0.196334,1.649229,0.01614199
-0.2002147,1.64411,0.01530881
-0.2049843,1.63808,0.0164598
-0.2090573,1.633811,0.01799382
-0.2137905,1.628799,0.01865962
-0.216751,1.627634,0.0188451
-0.2208488,1.625177,0.01866911
-0.2226493,1.622571,0.01855431
-0.225101,1.617754,0.01887174
-0.2276684,1.607569,0.01942952
-0.2287547,1.602376,0.01946762
-0.2292963,1.594842,0.01806751
-0.229749,1.589444,0.01723303
-0.2308842,1.585001,0.01709242
-0.2315037,1.581993,0.01601288
-0.2321757,1.575802,0.01246946
-0.2353924,1.570707,0.007762931
-0.2386906,1.565692,0.004297253
-0.2410478,1.559406,0.001774982
-0.2426798,1.556361,-0.0007591397
-0.2450022,1.551523,-0.003286477
-0.2454791,1.545522,-0.004712798
-0.2462639,1.540165,-0.005037673
-0.2471538,1.534827,-0.005865451
-0.2475093,1.526855,-0.007271729
-0.2479605,1.518776,-0.007890776
-0.2493244,1.508864,-0.007930011
-0.2512586,1.500631,-0.007255901
-0.2518892,1.495121,-0.006157778
-0.2523677,1.487213,-0.005188163
