X,Y,Z
0.2546033,1.246363,-0.01440433
0.2534629,1.242444,-0.0104785
0.2510617,1.243471,-0.008020878
0.2491837,1.243381,-0.007615209
0.247157,1.242907,-0.009414852
0.2458763,1.247305,-0.008882374
0.2454219,1.253163,-0.009620994
0.244332,1.256998,-0.0105305
0.2444279,1.262924,-0.01024362
0.245605,1.267089,-0.009927541
0.2452752,1.271085,-0.009495705
0.2447279,1.275559,-0.008813888
0.2457492,1.280745,-0.007806033
0.2464684,1.285326,-0.006783396
0.2487269,1.288009,-0.006092608
0.2515203,1.29227,-0.003824383
0.2526044,1.297655,-0.003664762
0.2523579,1.305573,-0.00378266
0.2521669,1.313546,-0.003047496
0.2523485,1.318805,-0.001905978
0.2530356,1.325472,-0.002034098
0.2530585,1.333881,-0.001499325
0.2539349,1.341488,-0.00235045
0.2537741,1.349638,-0.003278345
0.2534194,1.357716,-0.003500819
0.2524839,1.367804,-0.004191041
0.2529406,1.375005,-0.005857944
0.2538236,1.382334,-0.006724447
0.2544742,1.3893,-0.009129345
0.253662,1.398781,-0.01128861
0.2538629,1.405529,-0.01357105
0.2537982,1.412068,-0.01479709
0.2535051,1.415171,-0.01441544
0.2535965,1.419622,-0.01308894
0.2528137,1.424877,-0.01093376
0.2507463,1.430189,-0.0104652
0.250045,1.436031,-0.01052293
0.2510011,1.442254,-0.009738117
0.2512204,1.448986,-0.008907795
0.2513406,1.459952,-0.007851779
0.2508057,1.46931,-0.006143063
0.2499443,1.47651,-0.005967796
0.2488516,1.484145,-0.005923122
0.248074,1.492243,-0.005182028
0.2477155,1.499796,-0.004339278
0.2471369,1.506834,-0.004920781
0.2466743,1.513434,-0.00625965
0.2460058,1.519853,-0.007297277
0.2454196,1.527075,-0.006674498
0.2450431,1.533939,-0.006982356
0.2442616,1.542301,-0.008244455
0.2444561,1.548953,-0.008657157
0.2449469,1.557269,-0.007691771
0.2462301,1.564755,-0.005775303
0.2474461,1.571331,-0.004209697
0.2474357,1.578106,-0.003370255
0.2463298,1.585465,-0.00407958
0.2463412,1.59228,-0.004251212
0.246356,1.598189,-0.005609334
0.2463076,1.60429,-0.005808532
0.246037,1.609904,-0.005739927
0.2465996,1.616666,-0.00607115
0.2469877,1.622647,-0.007389575
0.2475243,1.629438,-0.009013325
0.2488487,1.634927,-0.009768903
0.2496875,1.640465,-0.009449422
0.2509501,1.647955,-0.009397924
0.2507579,1.656906,-0.009029031
0.2506047,1.661842,-0.009266317
0.2504966,1.670522,-0.008909971
0.24968,1.678853,-0.008919805
0.2497895,1.688982,-0.009205163
0.2495661,1.69793,-0.009750724
0.2484289,1.707724,-0.01101142
0.2469001,1.717369,-0.01361406
0.2461023,1.726277,-0.0152643
0.2471551,1.733484,-0.01436919
0.2462609,1.74041,-0.01410374
0.2445998,1.746409,-0.0148648
0.2426723,1.750031,-0.01458567
0.2407007,1.751143,-0.01296568
0.2361674,1.750963,-0.01171952
0.2311786,1.74983,-0.01018858
0.2261499,1.748943,-0.009974033
0.2212707,1.749511,-0.010943
0.2162467,1.749494,-0.01150715
0.2104205,1.75053,-0.01280925
0.2037562,1.75144,-0.01369303
0.1961593,1.75296,-0.01501369
0.1882353,1.75391,-0.0163075
0.1799601,1.754964,-0.01787782
0.1714997,1.75588,-0.01846734
0.1632012,1.755838,-0.01843545
0.1539849,1.75628,-0.01800233
0.1450464,1.755981,-0.01707858
0.1365272,1.75575,-0.01572451
0.127446,1.755011,-0.01383871
0.1186474,1.754241,-0.01294526
0.1102139,1.753805,-0.01237875
0.1014782,1.753522,-0.01217002
0.09286543,1.753967,-0.01214054
0.08265235,1.753078,-0.01123717
0.0722901,1.753626,-0.01245934
0.06263835,1.754709,-0.01382795
0.05317914,1.755351,-0.01409009
0.04292608,1.754168,-0.01337096
0.03349839,1.753137,-0.01322326
0.02457764,1.751046,-0.01165417
0.01529714,1.748875,-0.01083925
0.005570425,1.748157,-0.01056367
-0.003906785,1.74721,-0.009963185
-0.01621531,1.747391,-0.01281142
-0.0273573,1.748816,-0.01358807
-0.03685617,1.750662,-0.01399118
-0.0476735,1.753048,-0.01387474
-0.06062939,1.753548,-0.014485
-0.07251513,1.753947,-0.01656234
-0.08400447,1.753135,-0.01896816
-0.09527332,1.751691,-0.02014154
-0.1064643,1.749542,-0.01909563
-0.1171152,1.749699,-0.018756
-0.1268509,1.750079,-0.02153143
-0.136064,1.750426,-0.02237678
-0.1456599,1.748666,-0.024102
-0.1546883,1.748021,-0.02454442
-0.163867,1.747405,-0.02430934
-0.1720561,1.747722,-0.02365783
-0.1805699,1.74768,-0.02277941
-0.1883811,1.747897,-0.02170873
-0.1959375,1.747472,-0.02236387
-0.2048566,1.747153,-0.02364746
-0.2134767,1.747415,-0.02636451
-0.2231034,1.749106,-0.02804169
-0.2316342,1.747556,-0.02582461
-0.2388794,1.747512,-0.02465767
-0.2436655,1.747674,-0.02530268
-0.2484443,1.746034,-0.02457273
-0.2503177,1.744118,-0.02305615
-0.2514695,1.742099,-0.02195406
-0.2504113,1.738254,-0.02151117
-0.2491007,1.733457,-0.02240932
-0.2485757,1.728674,-0.02224058
-0.2488072,1.723271,-0.02078652
-0.2476194,1.717803,-0.01910779
-0.2474084,1.710234,-0.01829433
-0.2474971,1.704641,-0.01787505
-0.2477446,1.698175,-0.01635125
-0.2469131,1.691371,-0.01404828
-0.2468063,1.68704,-0.01268145
-0.2474979,1.68049,-0.01154393
-0.2478817,1.673236,-0.01007214
-0.2486195,1.664014,-0.008069307
-0.2506365,1.654454,-0.005799443
-0.2517745,1.646609,-0.005329281
-0.2523405,1.637212,-0.006661564
-0.2526087,1.629263,-0.008187503
-0.252971,1.620233,-0.009919316
-0.2539473,1.610855,-0.01227501
-0.2512593,1.601102,-0.01905113
-0.2553696,1.567338,-0.02272779
-0.2560219,1.563716,-0.02219588
-0.2566288,1.5604,-0.02157232
-0.2572982,1.558003,-0.02155295
-0.2585897,1.554802,-0.0214344
-0.2591242,1.549831,-0.01992303
-0.2599945,1.543614,-0.01909336
-0.2597545,1.53437,-0.0190886
-0.2590887,1.524967,-0.01836038
-0.2578653,1.515613,-0.01720428
-0.2556325,1.506434,-0.01558554
-0.2536588,1.496967,-0.01376739
-0.252036,1.487125,-0.01299796
-0.2503397,1.478039,-0.01261526
-0.2500573,1.469626,-0.01250365
-0.2505357,1.460289,-0.01389235
-0.2509758,1.451887,-0.0156455
-0.2532289,1.443117,-0.01639187
-0.2543771,1.434774,-0.01717272
-0.2549902,1.42673,-0.01721224
-0.2551282,1.418385,-0.01488465
-0.2541795,1.411258,-0.01199844
-0.2526505,1.404386,-0.01038361
-0.252462,1.396629,-0.008295923
-0.2520411,1.386504,-0.007007807
-0.2521501,1.376079,-0.007064164
-0.253579,1.364394,-0.009545237
-0.2558075,1.352528,-0.01102713
-0.2564411,1.341758,-0.01176253
-0.2567047,1.330899,-0.01241726
-0.2558645,1.319117,-0.01254162
-0.2549739,1.308544,-0.01231635
-0.2534625,1.297127,-0.01288062
-0.2523757,1.285519,-0.0138849
-0.2532471,1.2754,-0.01419693
-0.2525539,1.266478,-0.01470986
-0.2523105,1.259482,-0.01414889
-0.2521278,1.253916,-0.01379052
-0.2522317,1.249233,-0.01463604
-0.2513147,1.246583,-0.01420161
-0.2487966,1.245848,-0.01433268
-0.2437557,1.245695,-0.01353711
-0.2370302,1.244207,-0.01339012
-0.2298596,1.242762,-0.0143576
-0.2222272,1.240849,-0.01586801
-0.2153397,1.240342,-0.01636773
-0.2067287,1.242067,-0.01537797
-0.1977001,1.244242,-0.01513895
-0.1887496,1.246226,-0.01500458
-0.1779747,1.247649,-0.01332635
-0.1677993,1.248219,-0.01303878
-0.1574762,1.248278,-0.0123463
-0.1459004,1.248753,-0.01053861
-0.1344603,1.249771,-0.01016128
-0.1246292,1.248666,-0.01069558
-0.1145835,1.247509,-0.01036012
-0.1047703,1.247257,-0.009003431
-0.09522489,1.246688,-0.008454949
-0.08617347,1.246263,-0.007986248
-0.07705232,1.245596,-0.007745355
-0.06832267,1.245533,-0.008061886
-0.05946987,1.246253,-0.009654284
-0.05074701,1.246591,-0.01065534
-0.04235055,1.246719,-0.01156399
-0.03442682,1.247233,-0.0123249
-0.02625443,1.247286,-0.01389718
-0.01787023,1.247252,-0.01676559
-0.009197995,1.246836,-0.01831847
-0.0005342141,1.245669,-0.01878333
0.009739902,1.244719,-0.01896158
0.02049447,1.244662,-0.01718664
0.03086029,1.243791,-0.01628682
0.03998786,1.243037,-0.01694015
0.04880146,1.242667,-0.01730722
0.05598871,1.243604,-0.01901925
0.06374786,1.244038,-0.02021572
0.07026148,1.244426,-0.02179059
0.07711647,1.247185,-0.02325329
0.08494595,1.248945,-0.02505791
0.09264678,1.249499,-0.02546716
0.1014365,1.248563,-0.02529281
0.111041,1.248601,-0.02513924
0.1198661,1.249599,-0.02522433
0.1282815,1.25059,-0.0245114
0.1377606,1.251727,-0.02460524
0.1475012,1.2546,-0.02485386
0.1553496,1.255884,-0.02472043
0.1621425,1.256227,-0.0248946
0.1688891,1.256784,-0.0256404
0.1767649,1.256807,-0.02474704
0.1853986,1.255687,-0.02444234
0.1941518,1.256549,-0.02299309
0.2017775,1.259426,-0.02345508
0.2086036,1.260733,-0.02356374
0.2169516,1.258768,-0.02224499
0.2251143,1.258194,-0.01965579
0.2314244,1.259567,-0.01909143
0.237235,1.259196,-0.01882136
0.2427284,1.258247,-0.01807025
0.2470187,1.255726,-0.01720604
