X,Y,Z
0.2511794,1.247981,-0.01739716
0.2505732,1.246534,-0.01553256
0.2500834,1.245628,-0.01557888
0.2512775,1.245936,-0.01457119
0.252477,1.245563,-0.01484325
0.2525837,1.246896,-0.01458985
0.2520542,1.248163,-0.01469181
0.2516959,1.249999,-0.01500959
0.2512524,1.253449,-0.01393783
0.2514127,1.257082,-0.01261988
0.2516699,1.263431,-0.01045758
0.2525226,1.267863,-0.009126689
0.2533806,1.276337,-0.008742947
0.2542561,1.283267,-0.007948048
0.2537312,1.289987,-0.009056114
0.2537433,1.295271,-0.009500843
0.2543961,1.302461,-0.01047
0.2563028,1.308646,-0.01040208
0.257905,1.314977,-0.009539902
0.2585793,1.322477,-0.009176906
0.2576682,1.32813,-0.009947672
0.2578896,1.336694,-0.0105989
0.2584357,1.34501,-0.009943161
0.2595122,1.353498,-0.009422094
0.2599546,1.358413,-0.008451521
0.2592683,1.365914,-0.007544491
0.2591124,1.373508,-0.007588238
0.259495,1.381636,-0.007461358
0.2587266,1.388949,-0.006634071
0.2579553,1.394089,-0.006258793
0.2575859,1.402117,-0.005236655
0.256984,1.408763,-0.004342388
0.2544521,1.414045,-0.003530394
0.254237,1.418834,-0.003193498
0.2543033,1.42446,-0.003195632
0.2546238,1.430623,-0.003419928
0.2551924,1.4364,-0.002804022
0.2552667,1.442276,-0.002039988
0.255467,1.445811,-0.001870368
0.2547001,1.451932,-0.0014796
0.254116,1.457402,-0.001835179
0.2525791,1.463838,-0.001999274
0.2513915,1.467688,-0.002516426
0.251074,1.474264,-0.002815198
0.2500603,1.480073,-0.002740093
0.2506391,1.484536,-0.001560383
0.2509145,1.48919,-0.0004347079
0.2503247,1.491522,-0.0001690201
0.2493981,1.496576,-0.0001733452
0.2477176,1.501911,-0.001070362
0.2474353,1.507287,-0.002114683
0.2467611,1.510472,-0.002506983
0.246959,1.515115,-0.0028827
0.2477213,1.520598,-0.003340762
0.2483701,1.525964,-0.003602784
0.248358,1.531106,-0.004205365
0.247949,1.534069,-0.005057152
0.2483715,1.53866,-0.004883062
0.2499399,1.542956,-0.004024275
0.2513294,1.548497,-0.003713857
0.2510321,1.552401,-0.003299471
0.2506021,1.558841,-0.00317122
0.2512735,1.565066,-0.003106292
0.252045,1.56996,-0.002080038
0.2516374,1.576292,-0.001355238
0.2510124,1.580083,-0.001427259
0.2497796,1.585479,-0.002359975
0.245617,1.589922,-0.002960797
0.2441356,1.594265,-0.003071584
0.2440429,1.59722,-0.003049217
0.2438331,1.601103,-0.002620954
0.2435306,1.6042,-0.002144132
0.2443378,1.606498,-0.001077905
0.2462166,1.608472,-8.748844E-05
0.2471281,1.611207,-0.0001538843
0.2473199,1.615833,-0.001240041
0.248518,1.620998,-0.002614148
0.2494364,1.625837,-0.003268987
0.2502507,1.629286,-0.003497209
0.2503244,1.634959,-0.003785819
0.2492802,1.639205,-0.00400576
0.2492245,1.644382,-0.004381947
0.2486444,1.649504,-0.004598331
0.2469024,1.653368,-0.005405463
0.2463988,1.658851,-0.006515045
0.2457513,1.665083,-0.007646266
0.2449877,1.670725,-0.008491233
0.2446368,1.674172,-0.008708235
0.2440128,1.679371,-0.008685309
0.2431599,1.683498,-0.007908661
0.2433879,1.687348,-0.007798854
0.2440598,1.691827,-0.008805983
0.2447913,1.69319,-0.009661868
0.2463558,1.697032,-0.01022357
0.2484454,1.700641,-0.01017597
0.2486517,1.705027,-0.01040143
0.2481945,1.707966,-0.0112407
0.2478292,1.711835,-0.01235661
0.247702,1.715075,-0.01206217
0.2467271,1.719077,-0.01158068
0.2464247,1.721463,-0.0108108
0.2466704,1.72329,-0.01007779
0.2470439,1.726758,-0.009422526
0.247888,1.730878,-0.009164736
0.2470785,1.73571,-0.009919386
0.2465081,1.739054,-0.01058731
0.2461722,1.743701,-0.01104728
0.2459455,1.747971,-0.01165532
0.2463326,1.751162,-0.0124016
0.2458803,1.753799,-0.0125605
0.2463618,1.755118,-0.01283798
0.2475143,1.756475,-0.01272624
0.2469135,1.756471,-0.01191987
0.2426925,1.755221,-0.01090239
0.2362178,1.754871,-0.01097541
0.2314879,1.755093,-0.01065126
0.224772,1.755486,-0.0102183
0.2162151,1.754926,-0.009395111
0.207923,1.754019,-0.009510815
0.2024291,1.753608,-0.01051738
0.1940335,1.753599,-0.01200858
0.186668,1.753871,-0.01327911
0.1794398,1.754263,-0.01400431
0.174936,1.753986,-0.01430934
0.1674678,1.753377,-0.0139165
0.160399,1.752862,-0.01348228
0.1527875,1.752538,-0.01344689
0.1457036,1.752393,-0.01437029
0.1404653,1.752115,-0.01435311
0.1329384,1.751794,-0.01412155
0.1257604,1.752312,-0.01403306
0.1186322,1.753439,-0.0143878
0.1141355,1.754016,-0.01482715
0.1073874,1.754437,-0.01469475
0.0996206,1.754742,-0.01381034
0.09238848,1.754136,-0.01297378
0.08482622,1.753388,-0.01173026
0.07978227,1.75306,-0.01064281
0.07220038,1.752602,-0.008392785
0.06457969,1.751861,-0.00659408
0.05723009,1.751322,-0.005032949
0.04997617,1.752125,-0.003642201
0.04532126,1.752719,-0.00309214
0.03802704,1.752842,-0.001881167
0.03099059,1.752345,-0.0008225664
0.02395647,1.751844,0.0006326437
0.01940606,1.751542,0.001690902
0.01263635,1.751249,0.002258275
0.006923933,1.751134,0.002896659
0.0008022459,1.751456,0.004128218
-0.006736944,1.752159,0.004039846
-0.01100571,1.752509,0.003693912
-0.01674053,1.753112,0.003549289
-0.02261258,1.754043,0.004128844
-0.0293867,1.754662,0.003924116
-0.03391341,1.754542,0.003985409
-0.04147865,1.754643,0.004371069
-0.04836858,1.754476,0.004109964
-0.05553589,1.754767,0.004182626
-0.06034886,1.755069,0.004290234
-0.06720307,1.755172,0.0042837
-0.07409132,1.75423,0.004787259
-0.0803196,1.753604,0.005438883
-0.0865388,1.752249,0.005982291
-0.09035061,1.752185,0.006108969
-0.09694587,1.752107,0.005762767
-0.1032414,1.751559,0.005614355
-0.1099255,1.750495,0.005450878
-0.1139702,1.750744,0.005161431
-0.1202927,1.751481,0.004421011
-0.1261021,1.751936,0.002731059
-0.1317834,1.752115,0.001472142
-0.1378523,1.752336,0.0004663169
-0.1417605,1.752366,-0.0002484582
-0.1471291,1.752486,-0.001465548
-0.1526213,1.752948,-0.002648301
-0.1583922,1.753426,-0.0045496
-0.1618275,1.753726,-0.005781911
-0.1674092,1.754,-0.007371813
-0.1739801,1.7543,-0.00868772
-0.1802202,1.754261,-0.009382632
-0.1868073,1.753948,-0.0102484
-0.1911011,1.753109,-0.01081134
-0.1973936,1.752416,-0.0105783
-0.2035738,1.752198,-0.00959003
-0.2098393,1.751427,-0.008906841
-0.2135777,1.750758,-0.00870892
-0.2184314,1.749888,-0.008267868
-0.2234882,1.749423,-0.007748019
-0.2289356,1.749026,-0.007104781
-0.2334708,1.748724,-0.006227352
-0.2363872,1.749178,-0.006020162
-0.239726,1.749834,-0.005769271
-0.2447113,1.750563,-0.006820992
-0.2494624,1.75056,-0.008432638
-0.2517582,1.750136,-0.008916963
-0.2541274,1.749588,-0.009005003
-0.2543153,1.749451,-0.008738019
-0.2538419,1.747822,-0.007404618
-0.2534827,1.745614,-0.005616568
