-0.04017641,0.02294945,-0.397315
-0.3348035,0.1912455,-3.310959
-0.2494628,0.1424975,-2.467002
-0.2496896,0.1426269,-2.469245
-0.2516425,0.1437425,-2.488557
-0.2513387,0.1435694,-2.485559
-0.2527399,0.1443695,-2.499412
-0.3268081,0.1641315,-2.319563
-1.54395,0.4726223,1.293772
-2.164597,0.6626105,1.813848
-1.89631,0.5804846,1.589038
-1.857962,0.5687466,1.556901
-1.843724,0.5643864,1.544969
-1.878908,0.5751565,1.574454
-1.864058,0.570611,1.562006
-1.875059,0.5739799,1.571228
-1.845728,0.5649991,1.546646
-1.866629,0.5713992,1.564165
-1.85273,0.5671444,1.552513
-1.890421,0.5786839,1.584106
0.3390007,-0.2503853,1.426702
1.915289,-0.839457,1.349072
1.927406,-0.8447685,1.357607
1.932629,-0.8470564,1.361287
1.942141,-0.8512259,1.367988
1.940854,-0.8506618,1.367084
1.896252,-0.8311131,1.335663
1.928739,-0.8453543,1.358547
1.976092,-0.8661072,1.391901
1.874342,-0.8215113,1.32023
1.948118,-0.853847,1.372199
1.877907,-0.8230739,1.322738
0.1539712,0.1330715,-2.279462
0.05355,0.1921234,-2.529243
0.05237722,0.1879166,-2.473866
0.05267668,0.1889944,-2.488054
0.05301094,0.1901895,-2.503786
